Day,Month,AQI,Year,Date,AQI_Category,Season,Month_Num
25,April,92,2023,25-04-2023,Satisfactory,Summer,4
26,April,62,2023,26-04-2023,Satisfactory,Summer,4
27,April,70,2023,27-04-2023,Satisfactory,Summer,4
28,April,72,2023,28-04-2023,Satisfactory,Summer,4
29,April,61,2023,29-04-2023,Satisfactory,Summer,4
30,April,62,2023,30-04-2023,Satisfactory,Summer,4
1,May,56,2023,01-05-2023,Satisfactory,Summer,5
2,May,55,2023,02-05-2023,Satisfactory,Summer,5
3,May,54,2023,03-05-2023,Satisfactory,Summer,5
4,May,69,2023,04-05-2023,Satisfactory,Summer,5
5,May,99,2023,05-05-2023,Satisfactory,Summer,5
6,May,68,2023,06-05-2023,Satisfactory,Summer,5
7,May,74,2023,07-05-2023,Satisfactory,Summer,5
8,May,120,2023,08-05-2023,Moderate,Summer,5
9,May,125,2023,09-05-2023,Moderate,Summer,5
10,May,59,2023,10-05-2023,Satisfactory,Summer,5
11,May,92,2023,11-05-2023,Satisfactory,Summer,5
12,May,50,2023,12-05-2023,Good,Summer,5
13,May,79,2023,13-05-2023,Satisfactory,Summer,5
14,May,61,2023,14-05-2023,Satisfactory,Summer,5
15,May,54,2023,15-05-2023,Satisfactory,Summer,5
16,May,58,2023,16-05-2023,Satisfactory,Summer,5
17,May,66,2023,17-05-2023,Satisfactory,Summer,5
18,May,58,2023,18-05-2023,Satisfactory,Summer,5
19,May,130,2023,19-05-2023,Moderate,Summer,5
20,May,78,2023,20-05-2023,Satisfactory,Summer,5
21,May,77,2023,21-05-2023,Satisfactory,Summer,5
22,May,74,2023,22-05-2023,Satisfactory,Summer,5
23,May,225,2023,23-05-2023,Poor,Summer,5
24,May,60,2023,24-05-2023,Satisfactory,Summer,5
25,May,52,2023,25-05-2023,Satisfactory,Summer,5
26,May,49,2023,26-05-2023,Good,Summer,5
27,May,38,2023,27-05-2023,Good,Summer,5
28,May,24,2023,28-05-2023,Good,Summer,5
29,May,54,2023,29-05-2023,Satisfactory,Summer,5
30,May,89,2023,30-05-2023,Satisfactory,Summer,5
31,May,106,2023,31-05-2023,Moderate,Summer,5
1,June,79,2023,01-06-2023,Satisfactory,Monsoon,6
2,June,64,2023,02-06-2023,Satisfactory,Monsoon,6
3,June,52,2023,03-06-2023,Satisfactory,Monsoon,6
4,June,36,2023,04-06-2023,Good,Monsoon,6
5,June,42,2023,05-06-2023,Good,Monsoon,6
6,June,52,2023,06-06-2023,Satisfactory,Monsoon,6
7,June,52,2023,07-06-2023,Satisfactory,Monsoon,6
10,June,44,2023,10-06-2023,Good,Monsoon,6
11,June,39,2023,11-06-2023,Good,Monsoon,6
12,June,50,2023,12-06-2023,Good,Monsoon,6
13,June,34,2023,13-06-2023,Good,Monsoon,6
14,June,33,2023,14-06-2023,Good,Monsoon,6
15,June,44,2023,15-06-2023,Good,Monsoon,6
16,June,56,2023,16-06-2023,Satisfactory,Monsoon,6
